#Binding energy from OSU for the Semenov2010 benchmark
C 8.00e+02 8.00e+02
C10 8.00e+03 8.00e+03
C2 1.60e+03 1.60e+03
C2H 2.14e+03 2.14e+03
C2H2 2.59e+03 2.59e+03
C2H3 3.04e+03 3.04e+03
C2H4 3.49e+03 3.49e+03
C2H5 3.94e+03 3.94e+03
C2H5OH 6.58e+03 6.58e+03
C2H6 4.39e+03 4.39e+03
C2N 2.40e+03 2.40e+03
CCO 1.95e+03 1.95e+03
C2S 2.70e+03 2.70e+03
C3 2.40e+03 2.40e+03
C3H 2.94e+03 2.94e+03
C3H2 3.39e+03 3.39e+03
C3H3 3.84e+03 3.84e+03
C3H3N 5.48e+03 5.48e+03
C3H4 4.29e+03 4.29e+03
C3N 3.20e+03 3.20e+03
C3O 2.75e+03 2.75e+03
C3S 3.50e+03 3.50e+03
C4 3.20e+03 3.20e+03
C4H 3.74e+03 3.74e+03
C4H2 4.19e+03 4.19e+03
C4H3 4.64e+03 4.64e+03
C4H4 5.09e+03 5.09e+03
C4N 4.00e+03 4.00e+03
C4S 4.30e+03 4.30e+03
C5 4.00e+03 4.00e+03
C5H 4.54e+03 4.54e+03
C5H2 4.99e+03 4.99e+03
C5H3 5.44e+03 5.44e+03
C5H4 5.89e+03 5.89e+03
C5N 4.80e+03 4.80e+03
C6 4.80e+03 4.80e+03
C6H 5.34e+03 5.34e+03
C6H2 5.79e+03 5.79e+03
C6H3 6.24e+03 6.24e+03
C6H4 6.69e+03 6.69e+03
C6H6 7.59e+03 7.59e+03
C7 5.60e+03 5.60e+03
C7H 6.14e+03 6.14e+03
C7H2 6.59e+03 6.59e+03
C7H3 7.04e+03 7.04e+03
C7H4 7.49e+03 7.49e+03
C7N 6.40e+03 6.40e+03
C8 6.40e+03 6.40e+03
C8H 6.94e+03 6.94e+03
C8H2 7.39e+03 7.39e+03
C8H3 7.84e+03 7.84e+03
C8H4 8.29e+03 8.29e+03
C9 7.20e+03 7.20e+03
C9H 7.74e+03 7.74e+03
C9H2 8.19e+03 8.19e+03
C9H3 8.64e+03 8.64e+03
C9H4 9.09e+03 9.09e+03
C9N 8.00e+03 8.00e+03
CH 9.25e+02 9.25e+02
CH2 1.05e+03 1.05e+03
C2H2N 4.23e+03 4.23e+03
C2H2O 2.20e+03 2.20e+03
CH3N 2.85e+03 2.85e+03
CH2NH2 5.01e+03 5.01e+03
CH2OH 5.08e+03 5.08e+03
CH3 1.18e+03 1.18e+03
CH3C3N 6.48e+03 6.48e+03
CH3C4H 5.89e+03 5.89e+03
CH3C5N 7.88e+03 7.88e+03
CH3C6H 7.49e+03 7.49e+03
CH3C7N 9.48e+03 9.48e+03
C2H4O 2.45e+03 2.45e+03
C2H3N 4.68e+03 4.68e+03
CH3NH 3.55e+03 3.55e+03
CH3OCH3 3.15e+03 3.15e+03
CH4O 5.53e+03 5.53e+03
CH4 1.30e+03 1.30e+03
CH5N 6.58e+03 6.58e+03
CHNH 3.30e+03 3.30e+03
CN 1.60e+03 1.60e+03
CO 1.15e+03 1.15e+03
CO2 2.58e+03 2.58e+03
CS 1.90e+03 1.90e+03
FE 4.20e+03 4.20e+03
FEH 4.65e+03 4.65e+03
H 4.50e+02 4.50e+02
H2 2.30e+01 2.30e+01
H2C3N 5.03e+03 5.03e+03
H2C3O 3.65e+03 3.65e+03
H2C5N 6.63e+03 6.63e+03
H2C7N 8.23e+03 8.23e+03
H2C9N 9.83e+03 9.83e+03
H2CN 2.40e+03 2.40e+03
H2CO 2.05e+03 2.05e+03
H2CS 2.70e+03 2.70e+03
H2O 5.70e+03 5.70e+03
H2O2 5.70e+03 5.70e+03
H2S 2.74e+03 2.74e+03
H2S2 3.10e+03 3.10e+03
H3C5N 7.08e+03 7.08e+03
H3C7N 8.68e+03 8.68e+03
H3C9N 1.03e+04 1.03e+04
H4C3N 5.93e+03 5.93e+03
H5C3N 6.38e+03 6.38e+03
HC2NC 4.58e+03 4.58e+03
HC2O 2.40e+03 2.40e+03
HC3N 4.58e+03 4.58e+03
HC3O 3.20e+03 3.20e+03
HC5N 6.18e+03 6.18e+03
HC7N 7.78e+03 7.78e+03
HC9N 9.38e+03 9.38e+03
HCCN 3.78e+03 3.78e+03
HCN 2.05e+03 2.05e+03
HCNC2 4.58e+03 4.58e+03
HCO 1.60e+03 1.60e+03
HCOOCH3 6.30e+03 6.30e+03
CH2O2 5.57e+03 5.57e+03
HCS 2.35e+03 2.35e+03
HE 2.00e+02 2.00e+02
HNC 2.05e+03 2.05e+03
HNC3 4.58e+03 4.58e+03
HNCO 2.85e+03 2.85e+03
HNO 2.05e+03 2.05e+03
HS 1.45e+03 1.45e+03
HS2 2.65e+03 2.65e+03
MG 5.30e+03 5.30e+03
MGH 5.75e+03 5.75e+03
MGH2 6.20e+03 6.20e+03
N 8.00e+02 8.00e+02
N2 1.00e+03 1.00e+03
N2H2 4.76e+03 4.76e+03
NA 1.18e+04 1.18e+04
NAH 1.23e+04 1.23e+04
NAOH 1.47e+04 1.47e+04
NH 2.38e+03 2.38e+03
NH2 3.96e+03 3.96e+03
NH2CHO 5.56e+03 5.56e+03
NH2OH 6.81e+03 6.81e+03
NH3 5.53e+03 5.53e+03
NO 1.60e+03 1.60e+03
NS 1.90e+03 1.90e+03
O 8.00e+02 8.00e+02
O2 1.00e+03 1.00e+03
O2H 3.65e+03 3.65e+03
O3 1.80e+03 1.80e+03
OCN 2.40e+03 2.40e+03
OCS 2.89e+03 2.89e+03
OH 2.85e+03 2.85e+03
S 1.10e+03 1.10e+03
S2 2.20e+03 2.20e+03
SI 2.70e+03 2.70e+03
SIC 3.50e+03 3.50e+03
SIH 3.15e+03 3.15e+03
SIH2 3.60e+03 3.60e+03
SIH3 4.05e+03 4.05e+03
SIH4 4.50e+03 4.50e+03
SIO 3.50e+03 3.50e+03
SIS 3.80e+03 3.80e+03
SO 2.60e+03 2.60e+03
SO2 3.41e+03 3.41e+03
