#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), H2 rate (1/s)
          30 ,          30
 -0.60000000E+001  0.10000000E+001 -0.22496559E+002
 -0.60000000E+001  0.12413793E+001 -0.22392669E+002
 -0.60000000E+001  0.14827586E+001 -0.22297834E+002
 -0.60000000E+001  0.17241379E+001 -0.22216615E+002
 -0.60000000E+001  0.19655172E+001 -0.22156671E+002
 -0.60000000E+001  0.22068966E+001 -0.22131174E+002
 -0.60000000E+001  0.24482759E+001 -0.22160473E+002
 -0.60000000E+001  0.26896552E+001 -0.22267064E+002
 -0.60000000E+001  0.29310345E+001 -0.22460257E+002
 -0.60000000E+001  0.31724138E+001 -0.22726362E+002
 -0.60000000E+001  0.34137931E+001 -0.23039808E+002
 -0.60000000E+001  0.36551724E+001 -0.23378812E+002
 -0.60000000E+001  0.38965517E+001 -0.23730202E+002
 -0.60000000E+001  0.41379310E+001 -0.24087299E+002
 -0.60000000E+001  0.43793103E+001 -0.24446999E+002
 -0.60000000E+001  0.46206897E+001 -0.24807903E+002
 -0.60000000E+001  0.48620690E+001 -0.25169381E+002
 -0.60000000E+001  0.51034483E+001 -0.25531142E+002
 -0.60000000E+001  0.53448276E+001 -0.25893046E+002
 -0.60000000E+001  0.55862069E+001 -0.26255026E+002
 -0.60000000E+001  0.58275862E+001 -0.26617045E+002
 -0.60000000E+001  0.60689655E+001 -0.26979087E+002
 -0.60000000E+001  0.63103448E+001 -0.27341141E+002
 -0.60000000E+001  0.65517241E+001 -0.27703201E+002
 -0.60000000E+001  0.67931034E+001 -0.28065265E+002
 -0.60000000E+001  0.70344828E+001 -0.28427331E+002
 -0.60000000E+001  0.72758621E+001 -0.28789399E+002
 -0.60000000E+001  0.75172414E+001 -0.29151467E+002
 -0.60000000E+001  0.77586207E+001 -0.29513535E+002
 -0.60000000E+001  0.80000000E+001 -0.29875604E+002
 
 -0.55862069E+001  0.10000000E+001 -0.22082766E+002
 -0.55862069E+001  0.12413793E+001 -0.21978876E+002
 -0.55862069E+001  0.14827586E+001 -0.21884041E+002
 -0.55862069E+001  0.17241379E+001 -0.21802822E+002
 -0.55862069E+001  0.19655172E+001 -0.21742878E+002
 -0.55862069E+001  0.22068966E+001 -0.21717381E+002
 -0.55862069E+001  0.24482759E+001 -0.21746680E+002
 -0.55862069E+001  0.26896552E+001 -0.21853271E+002
 -0.55862069E+001  0.29310345E+001 -0.22046464E+002
 -0.55862069E+001  0.31724138E+001 -0.22312569E+002
 -0.55862069E+001  0.34137931E+001 -0.22626015E+002
 -0.55862069E+001  0.36551724E+001 -0.22965019E+002
 -0.55862069E+001  0.38965517E+001 -0.23316409E+002
 -0.55862069E+001  0.41379310E+001 -0.23673506E+002
 -0.55862069E+001  0.43793103E+001 -0.24033206E+002
 -0.55862069E+001  0.46206897E+001 -0.24394110E+002
 -0.55862069E+001  0.48620690E+001 -0.24755588E+002
 -0.55862069E+001  0.51034483E+001 -0.25117349E+002
 -0.55862069E+001  0.53448276E+001 -0.25479253E+002
 -0.55862069E+001  0.55862069E+001 -0.25841233E+002
 -0.55862069E+001  0.58275862E+001 -0.26203252E+002
 -0.55862069E+001  0.60689655E+001 -0.26565294E+002
 -0.55862069E+001  0.63103448E+001 -0.26927348E+002
 -0.55862069E+001  0.65517241E+001 -0.27289408E+002
 -0.55862069E+001  0.67931034E+001 -0.27651472E+002
 -0.55862069E+001  0.70344828E+001 -0.28013538E+002
 -0.55862069E+001  0.72758621E+001 -0.28375605E+002
 -0.55862069E+001  0.75172414E+001 -0.28737674E+002
 -0.55862069E+001  0.77586207E+001 -0.29099742E+002
 -0.55862069E+001  0.80000000E+001 -0.29461811E+002
 
 -0.51724138E+001  0.10000000E+001 -0.21668973E+002
 -0.51724138E+001  0.12413793E+001 -0.21565083E+002
 -0.51724138E+001  0.14827586E+001 -0.21470248E+002
 -0.51724138E+001  0.17241379E+001 -0.21389029E+002
 -0.51724138E+001  0.19655172E+001 -0.21329085E+002
 -0.51724138E+001  0.22068966E+001 -0.21303588E+002
 -0.51724138E+001  0.24482759E+001 -0.21332887E+002
 -0.51724138E+001  0.26896552E+001 -0.21439478E+002
 -0.51724138E+001  0.29310345E+001 -0.21632671E+002
 -0.51724138E+001  0.31724138E+001 -0.21898776E+002
 -0.51724138E+001  0.34137931E+001 -0.22212222E+002
 -0.51724138E+001  0.36551724E+001 -0.22551226E+002
 -0.51724138E+001  0.38965517E+001 -0.22902616E+002
 -0.51724138E+001  0.41379310E+001 -0.23259713E+002
 -0.51724138E+001  0.43793103E+001 -0.23619413E+002
 -0.51724138E+001  0.46206897E+001 -0.23980317E+002
 -0.51724138E+001  0.48620690E+001 -0.24341795E+002
 -0.51724138E+001  0.51034483E+001 -0.24703555E+002
 -0.51724138E+001  0.53448276E+001 -0.25065460E+002
 -0.51724138E+001  0.55862069E+001 -0.25427439E+002
 -0.51724138E+001  0.58275862E+001 -0.25789459E+002
 -0.51724138E+001  0.60689655E+001 -0.26151501E+002
 -0.51724138E+001  0.63103448E+001 -0.26513554E+002
 -0.51724138E+001  0.65517241E+001 -0.26875615E+002
 -0.51724138E+001  0.67931034E+001 -0.27237679E+002
 -0.51724138E+001  0.70344828E+001 -0.27599745E+002
 -0.51724138E+001  0.72758621E+001 -0.27961812E+002
 -0.51724138E+001  0.75172414E+001 -0.28323880E+002
 -0.51724138E+001  0.77586207E+001 -0.28685949E+002
 -0.51724138E+001  0.80000000E+001 -0.29048018E+002
 
 -0.47586207E+001  0.10000000E+001 -0.21255180E+002
 -0.47586207E+001  0.12413793E+001 -0.21151289E+002
 -0.47586207E+001  0.14827586E+001 -0.21056455E+002
 -0.47586207E+001  0.17241379E+001 -0.20975236E+002
 -0.47586207E+001  0.19655172E+001 -0.20915292E+002
 -0.47586207E+001  0.22068966E+001 -0.20889795E+002
 -0.47586207E+001  0.24482759E+001 -0.20919093E+002
 -0.47586207E+001  0.26896552E+001 -0.21025685E+002
 -0.47586207E+001  0.29310345E+001 -0.21218878E+002
 -0.47586207E+001  0.31724138E+001 -0.21484983E+002
 -0.47586207E+001  0.34137931E+001 -0.21798429E+002
 -0.47586207E+001  0.36551724E+001 -0.22137433E+002
 -0.47586207E+001  0.38965517E+001 -0.22488823E+002
 -0.47586207E+001  0.41379310E+001 -0.22845920E+002
 -0.47586207E+001  0.43793103E+001 -0.23205620E+002
 -0.47586207E+001  0.46206897E+001 -0.23566524E+002
 -0.47586207E+001  0.48620690E+001 -0.23928002E+002
 -0.47586207E+001  0.51034483E+001 -0.24289762E+002
 -0.47586207E+001  0.53448276E+001 -0.24651667E+002
 -0.47586207E+001  0.55862069E+001 -0.25013646E+002
 -0.47586207E+001  0.58275862E+001 -0.25375666E+002
 -0.47586207E+001  0.60689655E+001 -0.25737708E+002
 -0.47586207E+001  0.63103448E+001 -0.26099761E+002
 -0.47586207E+001  0.65517241E+001 -0.26461822E+002
 -0.47586207E+001  0.67931034E+001 -0.26823886E+002
 -0.47586207E+001  0.70344828E+001 -0.27185952E+002
 -0.47586207E+001  0.72758621E+001 -0.27548019E+002
