#table for dust averaged temperature
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.60000000E+001  0.10000000E+001  0.10595577E+001
 -0.60000000E+001  0.12413793E+001  0.10595577E+001
 -0.60000000E+001  0.14827586E+001  0.10595577E+001
 -0.60000000E+001  0.17241379E+001  0.10595577E+001
 -0.60000000E+001  0.19655172E+001  0.10595577E+001
 -0.60000000E+001  0.22068966E+001  0.10595577E+001
 -0.60000000E+001  0.24482759E+001  0.10595577E+001
 -0.60000000E+001  0.26896552E+001  0.10595577E+001
 -0.60000000E+001  0.29310345E+001  0.10595577E+001
 -0.60000000E+001  0.31724138E+001  0.10595577E+001
 -0.60000000E+001  0.34137931E+001  0.10595577E+001
 -0.60000000E+001  0.36551724E+001  0.10595577E+001
 -0.60000000E+001  0.38965517E+001  0.10595577E+001
 -0.60000000E+001  0.41379310E+001  0.10595577E+001
 -0.60000000E+001  0.43793103E+001  0.10595577E+001
 -0.60000000E+001  0.46206897E+001  0.10595577E+001
 -0.60000000E+001  0.48620690E+001  0.10595577E+001
 -0.60000000E+001  0.51034483E+001  0.10595578E+001
 -0.60000000E+001  0.53448276E+001  0.10595581E+001
 -0.60000000E+001  0.55862069E+001  0.10595586E+001
 -0.60000000E+001  0.58275862E+001  0.10595597E+001
 -0.60000000E+001  0.60689655E+001  0.10595624E+001
 -0.60000000E+001  0.63103448E+001  0.10595686E+001
 -0.60000000E+001  0.65517241E+001  0.10595829E+001
 -0.60000000E+001  0.67931034E+001  0.10596158E+001
 -0.60000000E+001  0.70344828E+001  0.10596915E+001
 -0.60000000E+001  0.72758621E+001  0.10598652E+001
 -0.60000000E+001  0.75172414E+001  0.10602635E+001
 -0.60000000E+001  0.77586207E+001  0.10611714E+001
 -0.60000000E+001  0.80000000E+001  0.10632160E+001
 
 -0.55862069E+001  0.10000000E+001  0.10595577E+001
 -0.55862069E+001  0.12413793E+001  0.10595577E+001
 -0.55862069E+001  0.14827586E+001  0.10595577E+001
 -0.55862069E+001  0.17241379E+001  0.10595577E+001
 -0.55862069E+001  0.19655172E+001  0.10595577E+001
 -0.55862069E+001  0.22068966E+001  0.10595577E+001
 -0.55862069E+001  0.24482759E+001  0.10595577E+001
 -0.55862069E+001  0.26896552E+001  0.10595577E+001
 -0.55862069E+001  0.29310345E+001  0.10595577E+001
 -0.55862069E+001  0.31724138E+001  0.10595577E+001
 -0.55862069E+001  0.34137931E+001  0.10595577E+001
 -0.55862069E+001  0.36551724E+001  0.10595577E+001
 -0.55862069E+001  0.38965517E+001  0.10595577E+001
 -0.55862069E+001  0.41379310E+001  0.10595577E+001
 -0.55862069E+001  0.43793103E+001  0.10595577E+001
 -0.55862069E+001  0.46206897E+001  0.10595578E+001
 -0.55862069E+001  0.48620690E+001  0.10595579E+001
 -0.55862069E+001  0.51034483E+001  0.10595581E+001
 -0.55862069E+001  0.53448276E+001  0.10595587E+001
 -0.55862069E+001  0.55862069E+001  0.10595600E+001
 -0.55862069E+001  0.58275862E+001  0.10595630E+001
 -0.55862069E+001  0.60689655E+001  0.10595700E+001
 -0.55862069E+001  0.63103448E+001  0.10595861E+001
 -0.55862069E+001  0.65517241E+001  0.10596232E+001
 -0.55862069E+001  0.67931034E+001  0.10597084E+001
 -0.55862069E+001  0.70344828E+001  0.10599040E+001
 -0.55862069E+001  0.72758621E+001  0.10603522E+001
 -0.55862069E+001  0.75172414E+001  0.10613728E+001
 -0.55862069E+001  0.77586207E+001  0.10636649E+001
 -0.55862069E+001  0.80000000E+001  0.10686641E+001
 
 -0.51724138E+001  0.10000000E+001  0.10595577E+001
 -0.51724138E+001  0.12413793E+001  0.10595577E+001
 -0.51724138E+001  0.14827586E+001  0.10595577E+001
 -0.51724138E+001  0.17241379E+001  0.10595577E+001
 -0.51724138E+001  0.19655172E+001  0.10595577E+001
 -0.51724138E+001  0.22068966E+001  0.10595577E+001
 -0.51724138E+001  0.24482759E+001  0.10595577E+001
 -0.51724138E+001  0.26896552E+001  0.10595577E+001
 -0.51724138E+001  0.29310345E+001  0.10595577E+001
 -0.51724138E+001  0.31724138E+001  0.10595577E+001
 -0.51724138E+001  0.34137931E+001  0.10595577E+001
 -0.51724138E+001  0.36551724E+001  0.10595577E+001
 -0.51724138E+001  0.38965517E+001  0.10595577E+001
 -0.51724138E+001  0.41379310E+001  0.10595577E+001
 -0.51724138E+001  0.43793103E+001  0.10595578E+001
 -0.51724138E+001  0.46206897E+001  0.10595579E+001
 -0.51724138E+001  0.48620690E+001  0.10595582E+001
 -0.51724138E+001  0.51034483E+001  0.10595588E+001
 -0.51724138E+001  0.53448276E+001  0.10595603E+001
 -0.51724138E+001  0.55862069E+001  0.10595637E+001
 -0.51724138E+001  0.58275862E+001  0.10595716E+001
 -0.51724138E+001  0.60689655E+001  0.10595897E+001
 -0.51724138E+001  0.63103448E+001  0.10596315E+001
 -0.51724138E+001  0.65517241E+001  0.10597274E+001
 -0.51724138E+001  0.67931034E+001  0.10599477E+001
 -0.51724138E+001  0.70344828E+001  0.10604521E+001
 -0.51724138E+001  0.72758621E+001  0.10615989E+001
 -0.51724138E+001  0.75172414E+001  0.10641671E+001
 -0.51724138E+001  0.77586207E+001  0.10697336E+001
 -0.51724138E+001  0.80000000E+001  0.10810498E+001
 
 -0.47586207E+001  0.10000000E+001  0.10595577E+001
 -0.47586207E+001  0.12413793E+001  0.10595577E+001
 -0.47586207E+001  0.14827586E+001  0.10595577E+001
 -0.47586207E+001  0.17241379E+001  0.10595577E+001
 -0.47586207E+001  0.19655172E+001  0.10595577E+001
 -0.47586207E+001  0.22068966E+001  0.10595577E+001
 -0.47586207E+001  0.24482759E+001  0.10595577E+001
 -0.47586207E+001  0.26896552E+001  0.10595577E+001
 -0.47586207E+001  0.29310345E+001  0.10595577E+001
 -0.47586207E+001  0.31724138E+001  0.10595577E+001
 -0.47586207E+001  0.34137931E+001  0.10595577E+001
 -0.47586207E+001  0.36551724E+001  0.10595577E+001
 -0.47586207E+001  0.38965517E+001  0.10595577E+001
 -0.47586207E+001  0.41379310E+001  0.10595578E+001
 -0.47586207E+001  0.43793103E+001  0.10595579E+001
 -0.47586207E+001  0.46206897E+001  0.10595582E+001
 -0.47586207E+001  0.48620690E+001  0.10595590E+001
 -0.47586207E+001  0.51034483E+001  0.10595606E+001
 -0.47586207E+001  0.53448276E+001  0.10595645E+001
 -0.47586207E+001  0.55862069E+001  0.10595734E+001
 -0.47586207E+001  0.58275862E+001  0.10595938E+001
 -0.47586207E+001  0.60689655E+001  0.10596408E+001
 -0.47586207E+001  0.63103448E+001  0.10597488E+001
 -0.47586207E+001  0.65517241E+001  0.10599969E+001
 -0.47586207E+001  0.67931034E+001  0.10605644E+001
 -0.47586207E+001  0.70344828E+001  0.10618528E+001
 -0.47586207E+001  0.72758621E+001  0.10647284E+001
 -0.47586207E+001  0.75172414E+001  0.10709186E+001
 -0.47586207E+001  0.77586207E+001  0.10833451E+001
 -0.47586207E+001  0.80000000E+001  0.11055679E+001
 
 -0.43448276E+001  0.10000000E+001  0.10595577E+001
 -0.43448276E+001  0.12413793E+001  0.10595577E+001
 -0.43448276E+001  0.14827586E+001  0.10595577E+001
 -0.43448276E+001  0.17241379E+001  0.10595577E+001
 -0.43448276E+001  0.19655172E+001  0.10595577E+001
 -0.43448276E+001  0.22068966E+001  0.10595577E+001
 -0.43448276E+001  0.24482759E+001  0.10595577E+001
 -0.43448276E+001  0.26896552E+001  0.10595577E+001
 -0.43448276E+001  0.29310345E+001  0.10595577E+001
 -0.43448276E+001  0.31724138E+001  0.10595577E+001
 -0.43448276E+001  0.34137931E+001  0.10595577E+001
 -0.43448276E+001  0.36551724E+001  0.10595577E+001
 -0.43448276E+001  0.38965517E+001  0.10595578E+001
 -0.43448276E+001  0.41379310E+001  0.10595579E+001
 -0.43448276E+001  0.43793103E+001  0.10595583E+001
 -0.43448276E+001  0.46206897E+001  0.10595591E+001
 -0.43448276E+001  0.48620690E+001  0.10595610E+001
 -0.43448276E+001  0.51034483E+001  0.10595653E+001
 -0.43448276E+001  0.53448276E+001  0.10595753E+001
 -0.43448276E+001  0.55862069E+001  0.10595984E+001
 -0.43448276E+001  0.58275862E+001  0.10596513E+001
 -0.43448276E+001  0.60689655E+001  0.10597730E+001
 -0.43448276E+001  0.63103448E+001  0.10600522E+001
 -0.43448276E+001  0.65517241E+001  0.10606906E+001
 -0.43448276E+001  0.67931034E+001  0.10621376E+001
 -0.43448276E+001  0.70344828E+001  0.10653551E+001
 -0.43448276E+001  0.72758621E+001  0.10722294E+001
 -0.43448276E+001  0.75172414E+001  0.10858426E+001
 -0.43448276E+001  0.77586207E+001  0.11097030E+001
 -0.43448276E+001  0.80000000E+001  0.11455046E+001
 
 -0.39310345E+001  0.10000000E+001  0.10595577E+001
 -0.39310345E+001  0.12413793E+001  0.10595577E+001
 -0.39310345E+001  0.14827586E+001  0.10595577E+001
 -0.39310345E+001  0.17241379E+001  0.10595577E+001
 -0.39310345E+001  0.19655172E+001  0.10595577E+001
 -0.39310345E+001  0.22068966E+001  0.10595577E+001
 -0.39310345E+001  0.24482759E+001  0.10595577E+001
 -0.39310345E+001  0.26896552E+001  0.10595577E+001
 -0.39310345E+001  0.29310345E+001  0.10595577E+001
 -0.39310345E+001  0.31724138E+001  0.10595577E+001
 -0.39310345E+001  0.34137931E+001  0.10595577E+001
 -0.39310345E+001  0.36551724E+001  0.10595578E+001
 -0.39310345E+001  0.38965517E+001  0.10595580E+001
 -0.39310345E+001  0.41379310E+001  0.10595584E+001
 -0.39310345E+001  0.43793103E+001  0.10595593E+001
 -0.39310345E+001  0.46206897E+001  0.10595614E+001
 -0.39310345E+001  0.48620690E+001  0.10595663E+001
 -0.39310345E+001  0.51034483E+001  0.10595776E+001
 -0.39310345E+001  0.53448276E+001  0.10596035E+001
 -0.39310345E+001  0.55862069E+001  0.10596631E+001
 -0.39310345E+001  0.58275862E+001  0.10598001E+001
 -0.39310345E+001  0.60689655E+001  0.10601145E+001
 -0.39310345E+001  0.63103448E+001  0.10608326E+001
 -0.39310345E+001  0.65517241E+001  0.10624570E+001
 -0.39310345E+001  0.67931034E+001  0.10660543E+001
 -0.39310345E+001  0.70344828E+001  0.10736766E+001
 -0.39310345E+001  0.72758621E+001  0.10885525E+001
