#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), cooling (erg/cm3/s) 
         30 ,          30
 -0.60000000E+001  0.10000000E+001 -0.40000000E+002
 -0.60000000E+001  0.12413793E+001 -0.40000000E+002
 -0.60000000E+001  0.14827586E+001 -0.40000000E+002
 -0.60000000E+001  0.17241379E+001 -0.40000000E+002
 -0.60000000E+001  0.19655172E+001 -0.40000000E+002
 -0.60000000E+001  0.22068966E+001 -0.40000000E+002
 -0.60000000E+001  0.24482759E+001 -0.40000000E+002
 -0.60000000E+001  0.26896552E+001 -0.40000000E+002
 -0.60000000E+001  0.29310345E+001 -0.40000000E+002
 -0.60000000E+001  0.31724138E+001 -0.39673720E+002
 -0.60000000E+001  0.34137931E+001 -0.39310284E+002
 -0.60000000E+001  0.36551724E+001 -0.38947433E+002
 -0.60000000E+001  0.38965517E+001 -0.38584915E+002
 -0.60000000E+001  0.41379310E+001 -0.38222590E+002
 -0.60000000E+001  0.43793103E+001 -0.37860373E+002
 -0.60000000E+001  0.46206897E+001 -0.37498220E+002
 -0.60000000E+001  0.48620690E+001 -0.37136102E+002
 -0.60000000E+001  0.51034483E+001 -0.36774006E+002
 -0.60000000E+001  0.53448276E+001 -0.36411921E+002
 -0.60000000E+001  0.55862069E+001 -0.36049843E+002
 -0.60000000E+001  0.58275862E+001 -0.35687769E+002
 -0.60000000E+001  0.60689655E+001 -0.35325697E+002
 -0.60000000E+001  0.63103448E+001 -0.34963626E+002
 -0.60000000E+001  0.65517241E+001 -0.34601556E+002
 -0.60000000E+001  0.67931034E+001 -0.34239486E+002
 -0.60000000E+001  0.70344828E+001 -0.33877417E+002
 -0.60000000E+001  0.72758621E+001 -0.33515348E+002
 -0.60000000E+001  0.75172414E+001 -0.33153279E+002
 -0.60000000E+001  0.77586207E+001 -0.32791210E+002
