          50 ,          50
 -0.60000000E+001  0.47712125E+000 -0.16821775E+002
 -0.60000000E+001  0.52860858E+000 -0.16797573E+002
 -0.60000000E+001  0.58009590E+000 -0.16773515E+002
 -0.60000000E+001  0.63158322E+000 -0.16749614E+002
 -0.60000000E+001  0.68307054E+000 -0.16725879E+002
 -0.60000000E+001  0.73455786E+000 -0.16702324E+002
 -0.60000000E+001  0.78604518E+000 -0.16678962E+002
 -0.60000000E+001  0.83753250E+000 -0.16655808E+002
 -0.60000000E+001  0.88901983E+000 -0.16632875E+002
 -0.60000000E+001  0.94050715E+000 -0.16610182E+002
 -0.60000000E+001  0.99199447E+000 -0.16587744E+002
 -0.60000000E+001  0.10434818E+001 -0.16565583E+002
 -0.60000000E+001  0.10949691E+001 -0.16543718E+002
 -0.60000000E+001  0.11464564E+001 -0.16522173E+002
 -0.60000000E+001  0.11979438E+001 -0.16500972E+002
 -0.60000000E+001  0.12494311E+001 -0.16480143E+002
 -0.60000000E+001  0.13009184E+001 -0.16459717E+002
 -0.60000000E+001  0.13524057E+001 -0.16439728E+002
 -0.60000000E+001  0.14038930E+001 -0.16420213E+002
 -0.60000000E+001  0.14553804E+001 -0.16401215E+002
 -0.60000000E+001  0.15068677E+001 -0.16382780E+002
 -0.60000000E+001  0.15583550E+001 -0.16364962E+002
 -0.60000000E+001  0.16098423E+001 -0.16347821E+002
 -0.60000000E+001  0.16613296E+001 -0.16331423E+002
 -0.60000000E+001  0.17128170E+001 -0.16315844E+002
 -0.60000000E+001  0.17643043E+001 -0.16301172E+002
 -0.60000000E+001  0.18157916E+001 -0.16287502E+002
 -0.60000000E+001  0.18672789E+001 -0.16274944E+002
 -0.60000000E+001  0.19187663E+001 -0.16263623E+002
 -0.60000000E+001  0.19702536E+001 -0.16253676E+002
 -0.60000000E+001  0.20217409E+001 -0.16245259E+002
 -0.60000000E+001  0.20732282E+001 -0.16238543E+002
 -0.60000000E+001  0.21247155E+001 -0.16233718E+002
 -0.60000000E+001  0.21762029E+001 -0.16230989E+002
 -0.60000000E+001  0.22276902E+001 -0.16230576E+002
 -0.60000000E+001  0.22791775E+001 -0.16232711E+002
 -0.60000000E+001  0.23306648E+001 -0.16237634E+002
 -0.60000000E+001  0.23821521E+001 -0.16245586E+002
 -0.60000000E+001  0.24336395E+001 -0.16256801E+002
 -0.60000000E+001  0.24851268E+001 -0.16271498E+002
 -0.60000000E+001  0.25366141E+001 -0.16289869E+002
 -0.60000000E+001  0.25881014E+001 -0.16312073E+002
 -0.60000000E+001  0.26395888E+001 -0.16338224E+002
 -0.60000000E+001  0.26910761E+001 -0.16368382E+002
 -0.60000000E+001  0.27425634E+001 -0.16402552E+002
 -0.60000000E+001  0.27940507E+001 -0.16440684E+002
 -0.60000000E+001  0.28455380E+001 -0.16482668E+002
 -0.60000000E+001  0.28970254E+001 -0.16528348E+002
