          50 ,          50
 -0.60000000E+001  0.47712125E+000  0.43616265E+000
 -0.60000000E+001  0.52860858E+000  0.43616265E+000
 -0.60000000E+001  0.58009590E+000  0.43616265E+000
 -0.60000000E+001  0.63158322E+000  0.43616265E+000
 -0.60000000E+001  0.68307054E+000  0.43616265E+000
 -0.60000000E+001  0.73455786E+000  0.43616265E+000
 -0.60000000E+001  0.78604518E+000  0.43616265E+000
 -0.60000000E+001  0.83753250E+000  0.43616265E+000
 -0.60000000E+001  0.88901983E+000  0.43616265E+000
 -0.60000000E+001  0.94050715E+000  0.43616265E+000
 -0.60000000E+001  0.99199447E+000  0.43616265E+000
 -0.60000000E+001  0.10434818E+001  0.43616265E+000
 -0.60000000E+001  0.10949691E+001  0.43616265E+000
 -0.60000000E+001  0.11464564E+001  0.43616265E+000
 -0.60000000E+001  0.11979438E+001  0.43616265E+000
 -0.60000000E+001  0.12494311E+001  0.43616265E+000
 -0.60000000E+001  0.13009184E+001  0.43616265E+000
 -0.60000000E+001  0.13524057E+001  0.43616265E+000
 -0.60000000E+001  0.14038930E+001  0.43616265E+000
 -0.60000000E+001  0.14553804E+001  0.43616265E+000
 -0.60000000E+001  0.15068677E+001  0.43616265E+000
 -0.60000000E+001  0.15583550E+001  0.43616265E+000
 -0.60000000E+001  0.16098423E+001  0.43616265E+000
 -0.60000000E+001  0.16613296E+001  0.43616265E+000
 -0.60000000E+001  0.17128170E+001  0.43616265E+000
 -0.60000000E+001  0.17643043E+001  0.43616266E+000
 -0.60000000E+001  0.18157916E+001  0.43616266E+000
 -0.60000000E+001  0.18672789E+001  0.43616266E+000
 -0.60000000E+001  0.19187663E+001  0.43616266E+000
 -0.60000000E+001  0.19702536E+001  0.43616266E+000
 -0.60000000E+001  0.20217409E+001  0.43616267E+000
 -0.60000000E+001  0.20732282E+001  0.43616267E+000
 -0.60000000E+001  0.21247155E+001  0.43616268E+000
 -0.60000000E+001  0.21762029E+001  0.43616268E+000
 -0.60000000E+001  0.22276902E+001  0.43616269E+000
 -0.60000000E+001  0.22791775E+001  0.43616270E+000
 -0.60000000E+001  0.23306648E+001  0.43616271E+000
 -0.60000000E+001  0.23821521E+001  0.43616272E+000
 -0.60000000E+001  0.24336395E+001  0.43616274E+000
 -0.60000000E+001  0.24851268E+001  0.43616275E+000
 -0.60000000E+001  0.25366141E+001  0.43616277E+000
 -0.60000000E+001  0.25881014E+001  0.43616280E+000
 -0.60000000E+001  0.26395888E+001  0.43616283E+000
 -0.60000000E+001  0.26910761E+001  0.43616287E+000
 -0.60000000E+001  0.27425634E+001  0.43616291E+000
 -0.60000000E+001  0.27940507E+001  0.43616296E+000
 -0.60000000E+001  0.28455380E+001  0.43616302E+000
 -0.60000000E+001  0.28970254E+001  0.43616309E+000
 -0.60000000E+001  0.29485127E+001  0.43616318E+000
 -0.60000000E+001  0.30000000E+001  0.43616328E+000
 
 -0.56326531E+001  0.47712125E+000  0.43616265E+000
 -0.56326531E+001  0.52860858E+000  0.43616265E+000
 -0.56326531E+001  0.58009590E+000  0.43616265E+000
 -0.56326531E+001  0.63158322E+000  0.43616265E+000
 -0.56326531E+001  0.68307054E+000  0.43616265E+000
 -0.56326531E+001  0.73455786E+000  0.43616265E+000
 -0.56326531E+001  0.78604518E+000  0.43616265E+000
 -0.56326531E+001  0.83753250E+000  0.43616265E+000
 -0.56326531E+001  0.88901983E+000  0.43616265E+000
 -0.56326531E+001  0.94050715E+000  0.43616265E+000
 -0.56326531E+001  0.99199447E+000  0.43616265E+000
 -0.56326531E+001  0.10434818E+001  0.43616265E+000
 -0.56326531E+001  0.10949691E+001  0.43616265E+000
 -0.56326531E+001  0.11464564E+001  0.43616265E+000
 -0.56326531E+001  0.11979438E+001  0.43616265E+000
 -0.56326531E+001  0.12494311E+001  0.43616265E+000
 -0.56326531E+001  0.13009184E+001  0.43616265E+000
 -0.56326531E+001  0.13524057E+001  0.43616265E+000
 -0.56326531E+001  0.14038930E+001  0.43616265E+000
 -0.56326531E+001  0.14553804E+001  0.43616265E+000
 -0.56326531E+001  0.15068677E+001  0.43616265E+000
 -0.56326531E+001  0.15583550E+001  0.43616266E+000
 -0.56326531E+001  0.16098423E+001  0.43616266E+000
 -0.56326531E+001  0.16613296E+001  0.43616266E+000
 -0.56326531E+001  0.17128170E+001  0.43616266E+000
 -0.56326531E+001  0.17643043E+001  0.43616267E+000
 -0.56326531E+001  0.18157916E+001  0.43616267E+000
 -0.56326531E+001  0.18672789E+001  0.43616268E+000
 -0.56326531E+001  0.19187663E+001  0.43616268E+000
 -0.56326531E+001  0.19702536E+001  0.43616269E+000
 -0.56326531E+001  0.20217409E+001  0.43616270E+000
 -0.56326531E+001  0.20732282E+001  0.43616271E+000
 -0.56326531E+001  0.21247155E+001  0.43616272E+000
 -0.56326531E+001  0.21762029E+001  0.43616273E+000
 -0.56326531E+001  0.22276902E+001  0.43616275E+000
 -0.56326531E+001  0.22791775E+001  0.43616277E+000
 -0.56326531E+001  0.23306648E+001  0.43616279E+000
 -0.56326531E+001  0.23821521E+001  0.43616282E+000
 -0.56326531E+001  0.24336395E+001  0.43616286E+000
 -0.56326531E+001  0.24851268E+001  0.43616290E+000
 -0.56326531E+001  0.25366141E+001  0.43616294E+000
 -0.56326531E+001  0.25881014E+001  0.43616300E+000
 -0.56326531E+001  0.26395888E+001  0.43616307E+000
 -0.56326531E+001  0.26910761E+001  0.43616316E+000
 -0.56326531E+001  0.27425634E+001  0.43616326E+000
 -0.56326531E+001  0.27940507E+001  0.43616337E+000
 -0.56326531E+001  0.28455380E+001  0.43616352E+000
 -0.56326531E+001  0.28970254E+001  0.43616369E+000
 -0.56326531E+001  0.29485127E+001  0.43616389E+000
 -0.56326531E+001  0.30000000E+001  0.43616413E+000
 
 -0.52653061E+001  0.47712125E+000  0.43616265E+000
 -0.52653061E+001  0.52860858E+000  0.43616265E+000
 -0.52653061E+001  0.58009590E+000  0.43616265E+000
 -0.52653061E+001  0.63158322E+000  0.43616265E+000
 -0.52653061E+001  0.68307054E+000  0.43616265E+000
 -0.52653061E+001  0.73455786E+000  0.43616265E+000
 -0.52653061E+001  0.78604518E+000  0.43616265E+000
 -0.52653061E+001  0.83753250E+000  0.43616265E+000
 -0.52653061E+001  0.88901983E+000  0.43616265E+000
 -0.52653061E+001  0.94050715E+000  0.43616265E+000
 -0.52653061E+001  0.99199447E+000  0.43616265E+000
 -0.52653061E+001  0.10434818E+001  0.43616265E+000
 -0.52653061E+001  0.10949691E+001  0.43616265E+000
 -0.52653061E+001  0.11464564E+001  0.43616265E+000
 -0.52653061E+001  0.11979438E+001  0.43616265E+000
 -0.52653061E+001  0.12494311E+001  0.43616265E+000
 -0.52653061E+001  0.13009184E+001  0.43616266E+000
 -0.52653061E+001  0.13524057E+001  0.43616266E+000
 -0.52653061E+001  0.14038930E+001  0.43616266E+000
