#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
              1              1            HII    109678.7737   1.567079e+05   1.359808e+01              1
              2              1           HeII   198310.77227   2.833444e+05   2.458677e+01              1
              2              2          HeIII    438908.8863   6.271086e+05   5.441636e+01              1
              3              1           LiII       43487.15   6.213401e+04   5.391580e+00              2
              3              2          LiIII       610079.0   8.716748e+05   7.563820e+01              1
              3              3           LiIV     987661.027   1.411160e+06   1.224512e+02              1
              4              1           BeII       75192.64   1.074345e+05   9.322459e+00              2
              4              2          BeIII      146882.86   2.098648e+05   1.821068e+01              2
              4              3           BeIV      1241242.0   1.773474e+06   1.538904e+02              1
              4              4            BeV    1756018.824   2.508982e+06   2.177130e+02              1
              5              1            BII        66928.1   9.562620e+04   8.297813e+00              2
              5              2           BIII       202887.4   2.898835e+05   2.515418e+01              2
              5              3            BIV       305931.1   4.371113e+05   3.792964e+01              2
              5              4             BV      2092001.4   2.989031e+06   2.593684e+02              1
              5              5            BVI     2744107.87   3.920754e+06   3.402172e+02              1
              6              1            CII       90820.42   1.297633e+05   1.126001e+01              2
              6              2           CIII       196664.7   2.809926e+05   2.438269e+01              2
              6              3            CIV       386241.0   5.518573e+05   4.788655e+01              2
              6              4             CV       520178.4   7.432257e+05   6.449224e+01              2
              6              5            CVI      3162395.0   4.518398e+06   3.920769e+02              1
              6              6           CVII     3952061.52   5.646666e+06   4.899805e+02              1
              7              1            NII       117225.4   1.674905e+05   1.453372e+01              2
              7              2           NIII       238750.5   3.411243e+05   2.960053e+01              2
              7              3            NIV       382703.8   5.468034e+05   4.744800e+01              2
              7              4             NV       624866.0   8.928023e+05   7.747151e+01              2
              7              5            NVI       789537.2   1.128083e+06   9.788761e+01              2
              7              6           NVII      4452745.0   6.362038e+06   5.520558e+02              1
              7              7          NVIII      5380089.3   7.687018e+06   6.670289e+02              1
              8              1            OII      109837.02   1.569340e+05   1.361770e+01              2
              8              2           OIII       283240.0   4.046905e+05   3.511638e+01              2
              8              3            OIV       443086.0   6.330768e+05   5.493425e+01              2
              8              4             OV       624383.8   8.921133e+05   7.741173e+01              2
              8              5            OVI       918657.0   1.312568e+06   1.138960e+02              2
              8              6           OVII      1114008.0   1.591683e+06   1.381158e+02              2
              8              7          OVIII      5963114.0   8.520038e+06   7.393128e+02              1
              8              8            OIX      7028393.6   1.004210e+07   8.713873e+02              1
              9              1            FII       140524.5   2.007800e+05   1.742237e+01              2
              9              2           FIII       282058.6   4.030025e+05   3.496991e+01              2
              9              3            FIV       505777.0   7.226491e+05   6.270674e+01              2
              9              4             FV       702830.0   1.004196e+06   8.713757e+01              2
              9              5            FVI       921430.0   1.316530e+06   1.142398e+02              2
              9              6           FVII      1267606.0   1.811143e+06   1.571591e+02              2
              9              7          FVIII      1493632.0   2.134086e+06   1.851820e+02              2
              9              8            FIX      7693778.0   1.099279e+07   9.538823e+02              1
              9              9             FX      8897240.3   1.271229e+07   1.103089e+03              1
             10              1           NeII       173929.7   2.485090e+05   2.156398e+01              2
             10              2          NeIII       330391.0   4.720594e+05   4.096221e+01              2
             10              3           NeIV       511800.0   7.312547e+05   6.345348e+01              2
             10              4            NeV       783300.0   1.119171e+06   9.711432e+01              2
             10              5           NeVI      1018000.0   1.454508e+06   1.262127e+02              2
             10              6          NeVII      1273800.0   1.819993e+06   1.579270e+02              2
             10              7         NeVIII      1671792.0   2.388640e+06   2.072704e+02              2
             10              8           NeIX      1928462.0   2.755367e+06   2.390926e+02              2
             10              9            NeX      9644957.0   1.378062e+07   1.195791e+03              1
             10             10           NeXI     10986873.0   1.569793e+07   1.362164e+03              1
             11              1           NaII       41449.44   5.922255e+04   5.138943e+00              3
             11              2          NaIII       381390.2   5.449265e+05   4.728514e+01              2
             11              3           NaIV       577654.0   8.253463e+05   7.161812e+01              2
             11              4            NaV       797800.0   1.139889e+06   9.891204e+01              2
             11              5           NaVI      1116300.0   1.594958e+06   1.384000e+02              2
             11              6          NaVII      1388750.0   1.984232e+06   1.721786e+02              2
             11              7         NaVIII      1681700.0   2.402796e+06   2.084988e+02              2
             11              8           NaIX      2131300.0   3.045180e+06   2.642407e+02              2
             11              9            NaX      2418570.0   3.455629e+06   2.998567e+02              2
             11             10           NaXI     11816996.0   1.688401e+07   1.465083e+03              1
             11             11          NaXII     13297671.6   1.899958e+07   1.648659e+03              1
             12              1           MgII       61671.02   8.811494e+04   7.646035e+00              3
             12              2          MgIII      121267.61   1.732659e+05   1.503488e+01              3
             12              3           MgIV       646402.0   9.235727e+05   8.014157e+01              2
             12              4            MgV       881285.0   1.259171e+06   1.092626e+02              2
             12              5           MgVI      1139420.0   1.627992e+06   1.412664e+02              2
             12              6          MgVII      1506300.0   2.152186e+06   1.867526e+02              2
             12              7         MgVIII      1814900.0   2.593111e+06   2.250131e+02              2
             12              8           MgIX      2145100.0   3.064897e+06   2.659516e+02              2
             12              9            MgX      2644700.0   3.778721e+06   3.278926e+02              2
             12             10           MgXI      2964060.0   4.235019e+06   3.674871e+02              2
             12             11          MgXII     14209908.0   2.030297e+07   1.761759e+03              1
             12             12         MgXIII     15829955.0   2.261768e+07   1.962614e+03              1
             13              1           AlII       48278.37   6.897965e+04   5.985601e+00              3
             13              2          AlIII       151862.7   2.169799e+05   1.882809e+01              3
             13              3           AlIV       229445.7   3.278297e+05   2.844691e+01              3
             13              4            AlV       967804.0   1.382789e+06   1.199893e+02              2
             13              5           AlVI      1240684.0   1.772677e+06   1.538212e+02              2
             13              6          AlVII      1536300.0   2.195050e+06   1.904720e+02              2
             13              7         AlVIII      1949900.0   2.785998e+06   2.417506e+02              2
             13              8           AlIX      2295900.0   3.280359e+06   2.846480e+02              2
             13              9            AlX      2662650.0   3.804368e+06   3.301180e+02              2
             13             10           AlXI      3216100.0   4.595132e+06   3.987353e+02              2
             13             11          AlXII      3564960.0   5.093579e+06   4.419873e+02              2
             13             12         AlXIII     16824529.0   2.403872e+07   2.085922e+03              1
             13             13          AlXIV     18584144.0   2.655284e+07   2.304081e+03              1
