# KROME file, 23Sept2014, Opacity Mayer
# Tab.E2 Mayer+2005
# first line indicates the size of the table (15x23)
# then first column is log10(rho), where rho is the density in g/cm3
# second column is log10(T), where T is the temperature in K
# third column is log10(opacity), in units of cm2/g
           15,          23
-16.00       1.80 	-14.39 
-16.00       1.90 	-14.18 
-16.00       2.00 	-14.03 
-16.00       2.10 	-13.92 
-16.00       2.20 	-13.84 
-16.00       2.30 	-13.79 
-16.00       2.40 	-13.78 
-16.00       2.50 	-13.80 
-16.00       2.60 	-13.84 
-16.00       2.70 	-13.87 
-16.00       2.80 	-13.88 
-16.00       2.90 	-13.85 
-16.00       3.00 	-13.75 
-16.00       3.10 	-13.59 
-16.00       3.20 	-13.80 
-16.00       3.30 	-14.06
-16.00       3.40 	-12.33
-16.00       3.50 	-9.70 
-16.00       3.60 	-6.65 
-16.00       3.70 	-3.71 
-16.00       3.80 	-3.49 
-16.00       3.90 	-3.93 
-16.00       4.00 	-4.29 

-15.00       1.80       -13.39 
-15.00       1.90       -13.18 
-15.00       2.00       -13.03 
-15.00       2.10       -12.92 
-15.00       2.20       -12.84 
-15.00       2.30       -12.79 
-15.00       2.40       -12.78 
-15.00       2.50       -12.80 
-15.00       2.60       -12.84 
-15.00       2.70       -12.87 
-15.00       2.80       -12.88 
-15.00       2.90       -12.85 
-15.00       3.00       -12.75 
-15.00       3.10       -12.61 
-15.00       3.20       -12.76 
-15.00       3.30       -13.06
-15.00       3.40       -11.82
-15.00       3.50       -9.22 
-15.00       3.60       -6.57 
-15.00       3.70       -3.52 
-15.00       3.80       -2.52 
-15.00       3.90       -2.94 
-15.00       4.00       -3.30 

-14.00       1.80       -12.39
-14.00       1.90       -12.18
-14.00       2.00       -12.03
-14.00       2.10       -11.92
-14.00       2.20       -11.84
-14.00       2.30       -11.79
-14.00       2.40       -11.78
-14.00       2.50       -11.80
-14.00       2.60       -11.84
-14.00       2.70       -11.87
-14.00       2.80       -11.88
-14.00       2.90       -11.85
-14.00       3.00       -11.75
-14.00       3.10       -11.61
-14.00       3.20       -11.64
-14.00       3.30       -12.06
-14.00       3.40       -11.30
-14.00       3.50       -8.73
-14.00       3.60       -6.39
-14.00       3.70       -3.46
-14.00       3.80       -1.66
-14.00       3.90       -1.94
-14.00       4.00       -2.34

-13.00       1.80       -11.39 
-13.00       1.90       -11.18 
-13.00       2.00       -11.03 
-13.00       2.10       -10.92 
-13.00       2.20       -10.84 
-13.00       2.30       -10.79 
-13.00       2.40       -10.78 
-13.00       2.50       -10.80 
-13.00       2.60       -10.84 
-13.00       2.70       -10.87 
-13.00       2.80       -10.88 
-13.00       2.90       -10.85 
-13.00       3.00       -10.75 
-13.00       3.10       -10.60 
-13.00       3.20       -10.54 
-13.00       3.30       -11.05 
-13.00       3.40       -10.73
-13.00       3.50       -8.23 
-13.00       3.60       -6.08 
-13.00       3.70       -3.42 
-13.00       3.80       -1.18 
-13.00       3.90       -0.95 
-13.00       4.00       -1.38 

-12.00       1.80       -10.39
-12.00       1.90       -10.18
-12.00       2.00       -10.03
-12.00       2.10       -9.92
-12.00       2.20       -9.84
-12.00       2.30       -9.79
-12.00       2.40       -9.78
-12.00       2.50       -9.80
-12.00       2.60       -9.84
-12.00       2.70       -9.87
-12.00       2.80       -9.89
-12.00       2.90       -9.85
-12.00       3.00       -9.75
-12.00       3.10       -9.60
-12.00       3.20       -9.51
-12.00       3.30       -9.97
-12.00       3.40       -10.05
-12.00       3.50       -7.73
-12.00       3.60       -5.66
-12.00       3.70       -3.36
-12.00       3.80       -1.00
-12.00       3.90       -0.02
-12.00       4.00       -0.38

-11.00       1.80       -9.39
-11.00       1.90       -9.18
-11.00       2.00       -9.03
-11.00       2.10       -8.92
-11.00       2.20       -8.84
-11.00       2.30       -8.79
-11.00       2.40       -8.78
-11.00       2.50       -8.80
-11.00       2.60       -8.84
-11.00       2.70       -8.87
-11.00       2.80       -8.89
-11.00       2.90       -8.85
-11.00       3.00       -8.75
-11.00       3.10       -8.60
-11.00       3.20       -8.51
-11.00       3.30       -8.72
-11.00       3.40       -9.19
-11.00       3.50       -7.23
-11.00       3.60       -5.19
-11.00       3.70       -3.23
-11.00       3.80       -0.94
-11.00       3.90        0.62 
-11.00       4.00        0.60 

-10.00       1.80       -8.39 
-10.00       1.90       -8.18 
-10.00       2.00       -8.03 
-10.00       2.10       -7.92 
-10.00       2.20       -7.84 
-10.00       2.30       -7.79 
-10.00       2.40       -7.78 
-10.00       2.50       -7.80 
-10.00       2.60       -7.84 
-10.00       2.70       -7.87 
-10.00       2.80       -7.89 
-10.00       2.90       -7.85 
-10.00       3.00       -7.75 
-10.00       3.10       -7.60 
-10.00       3.20       -7.50 
-10.00       3.30       -7.53 
-10.00       3.40       -8.22 
-10.00       3.50       -6.72 
-10.00       3.60       -4.70 
-10.00       3.70       -2.96 
-10.00       3.80       -0.89 
-10.00       3.90        0.89 
-10.00       4.00        1.52 

-9.00        1.80       -7.39 
