# KROME file, 23Sept2014, Opacity Mayer
# Tab.E3 Mayer+2005
# first line indicates the size of the table (15x23)
# then first column is log10(rho), where rho is the density in g/cm3
# second column is log10(T), where T is the temperature in K
# third column is log10(opacity), in units of cm2/g
           15,          23
-16.00       1.80 	-4.36 
-16.00       1.90 	-4.54 
-16.00       2.00 	-4.71 
-16.00       2.10 	-4.89 
-16.00       2.20 	-5.06 
-16.00       2.30 	-5.39 
-16.00       2.40 	-6.01 
-16.00       2.50 	-6.08 
-16.00       2.60 	-6.13 
-16.00       2.70 	-6.16 
-16.00       2.80 	-6.15 
-16.00       2.90 	-6.05 
-16.00       3.00 	-5.91 
-16.00       3.10 	-5.73 
-16.00       3.20 	-8.02 
-16.00       3.30 	-11.02
-16.00       3.40 	-12.05
-16.00       3.50 	-9.69 
-16.00       3.60 	-6.65 
-16.00       3.70 	-3.71 
-16.00       3.80 	-3.49 
-16.00       3.90 	-3.84 
-16.00       4.00 	-3.87 

-15.00       1.80       -4.36 
-15.00       1.90       -4.54 
-15.00       2.00       -4.71 
-15.00       2.10       -4.89 
-15.00       2.20       -5.06 
-15.00       2.30       -5.29 
-15.00       2.40       -5.98 
-15.00       2.50       -6.08 
-15.00       2.60       -6.13 
-15.00       2.70       -6.16 
-15.00       2.80       -6.15 
-15.00       2.90       -6.05 
-15.00       3.00       -5.91 
-15.00       3.10       -5.57 
-15.00       3.20       -7.06 
-15.00       3.30       -10.02
-15.00       3.40       -11.51
-15.00       3.50       -9.21 
-15.00       3.60       -6.57 
-15.00       3.70       -3.52 
-15.00       3.80       -2.52 
-15.00       3.90       -2.93 
-15.00       4.00       -2.91 

-14.00       1.80       -4.36
-14.00       1.90       -4.54
-14.00       2.00       -4.71
-14.00       2.10       -4.89
-14.00       2.20       -5.06
-14.00       2.30       -5.24
-14.00       2.40       -5.90
-14.00       2.50       -6.08
-14.00       2.60       -6.13
-14.00       2.70       -6.16
-14.00       2.80       -6.15
-14.00       2.90       -6.05
-14.00       3.00       -5.91
-14.00       3.10       -5.51
-14.00       3.20       -6.31
-14.00       3.30       -9.02
-14.00       3.40       -10.91
-14.00       3.50       -8.72
-14.00       3.60       -6.39
-14.00       3.70       -3.46
-14.00       3.80       -1.66
-14.00       3.90       -1.94
-14.00       4.00       -2.08

-13.00       1.80       -4.36 
-13.00       1.90       -4.54 
-13.00       2.00       -4.71 
-13.00       2.10       -4.89 
-13.00       2.20       -5.06 
-13.00       2.30       -5.22 
-13.00       2.40       -5.75 
-13.00       2.50       -6.07 
-13.00       2.60       -6.13 
-13.00       2.70       -6.16 
-13.00       2.80       -6.15 
-13.00       2.90       -6.05 
-13.00       3.00       -5.91 
-13.00       3.10       -5.48 
-13.00       3.20       -5.82 
-13.00       3.30       -8.02 
-13.00       3.40       -10.20
